Location	State	MileMarker	LT1-LT2-LT3-LT4	HT1-HT2-HT3
Terre Haute	Indiana	880,0	354,0-208,0-208,0-209,0		709,0-629,0-872,0-825,0		244,75	758,75
Whittier	California	580,0	253,0-254,0-27,0-348,0		779,0-639,0-773,0-848,0		220,50	759,75
Detroit	Michigan	788,0	223,0-38,0-362,0-258,0		622,0-609,0-788,0-836,0		220,25	713,75
Sacramento	California	427,0	283,0-341,0-282,0-325,0		747,0-869,0-769,0-70,0		307,75	613,75
Frederick	Maryland	237,0	257,0-302,0-26,0-294,0		622,0-607,0-613,0-757,0		219,75	649,75
Atlanta	Georgia	877,0	358,0-355,0-365,0-209,0		798,0-683,0-647,0-78,0		321,75	551,50
Fort Worth	Texas	57,0	366,0-295,0-328,0-309,0		723,0-65,0-676,0-892,0		324,50	589,00
Pittsburgh	Pennsylvania	933,0	232,0-245,0-339,0-21,0		727,0-64,0-865,0-798,0		209,25	613,50
Fairfield	Connecticut	538,0	222,0-396,0-238,0-332,0		726,0-835,0-669,0-792,0		297,00	755,50
Jackson	Mississippi	820,0	347,0-387,0-357,0-332,0		853,0-882,0-798,0-831,0		355,75	841,00
Arlington	Virginia	475,0	23,0-29,0-354,0-258,0		632,0-732,0-634,0-606,0		166,00	651,00
Saint Paul	Minnesota	226,0	276,0-233,0-384,0-396,0		609,0-758,0-852,0-875,0		322,25	773,50
Erie	Pennsylvania	884,0	218,0-387,0-352,0-264,0		713,0-759,0-781,0-896,0		305,25	787,25
Spring	Texas	877,0	34,0-217,0-264,0-353,0		806,0-875,0-847,0-701,0		217,00	807,25
Rochester	New York	553,0	236,0-371,0-296,0-257,0		86,0-784,0-65,0-662,0		290,00	399,25
South Bend	Indiana	776,0	303,0-253,0-333,0-346,0		864,0-821,0-773,0-744,0		308,75	800,50
Norfolk	Virginia	574,0	24,0-355,0-232,0-326,0		617,0-862,0-696,0-801,0		234,25	744,00
Montgomery	Alabama	791,0	379,0-351,0-386,0-332,0		648,0-895,0-886,0-659,0		362,00	772,00
Oklahoma City	Oklahoma	500,0	25,0-39,0-275,0-288,0		712,0-617,0-677,0-713,0		156,75	679,75
Charleston	West Virginia	176,0	242,0-288,0-291,0-241,0		702,0-789,0-797,0-763,0		265,50	762,75
Ogden	Utah	927,0	277,0-233,0-242,0-382,0		88,0-624,0-71,0-736,0		283,50	379,75
Chicago	Illinois	391,0	247,0-395,0-209,0-396,0		89,0-838,0-631,0-84,0		311,75	410,50
Spring Hill	Florida	909,0	31,0-244,0-395,0-364,0		801,0-628,0-866,0-899,0		258,50	798,50
San Antonio	Texas	39,0	289,0-201,0-398,0-351,0		686,0-788,0-699,0-747,0		309,75	730,00
Nashville	Tennessee	396,0	204,0-318,0-385,0-203,0		674,0-638,0-859,0-885,0		277,50	764,00
Fairfax	Virginia	230,0	266,0-327,0-312,0-311,0		692,0-746,0-853,0-88,0		304,00	594,75
Huntsville	Alabama	611,0	228,0-238,0-334,0-238,0		855,0-739,0-67,0-894,0		259,50	638,75
Philadelphia	Pennsylvania	723,0	395,0-392,0-327,0-276,0		823,0-866,0-898,0-855,0		347,50	860,50
Everett	Washington	296,0	381,0-361,0-264,0-264,0		813,0-715,0-81,0-687,0		317,50	574,00
Huntsville	Alabama	802,0	219,0-278,0-222,0-368,0		707,0-753,0-634,0-747,0		271,75	710,25
Tulsa	Oklahoma	758,0	337,0-243,0-251,0-242,0		812,0-707,0-703,0-798,0		268,25	755,00
Cincinnati	Ohio	241,0	303,0-307,0-299,0-306,0		76,0-798,0-758,0-756,0		303,75	597,00
Boston	Massachusetts	562,0	277,0-33,0-318,0-356,0		899,0-704,0-606,0-604,0		246,00	703,25
Albuquerque	New Mexico	36,0	337,0-238,0-291,0-382,0		899,0-66,0-756,0-763,0		312,00	621,00
Erie	Pennsylvania	303,0	363,0-321,0-22,0-237,0		636,0-87,0-868,0-723,0		235,75	578,50
Hartford	Connecticut	210,0	304,0-349,0-393,0-396,0		725,0-768,0-706,0-68,0		360,50	566,75
Salt Lake City	Utah	797,0	30,0-305,0-201,0-34,0		865,0-855,0-698,0-871,0		142,50	822,25
Washington	District of Columbia	882,0	37,0-399,0-337,0-298,0		708,0-767,0-65,0-778,0		267,75	579,50
Naples	Florida	227,0	375,0-32,0-315,0-349,0		674,0-742,0-677,0-623,0		267,75	679,00
Arlington	Texas	554,0	323,0-238,0-373,0-283,0		701,0-697,0-70,0-674,0		304,25	535,50
Los Angeles	California	556,0	274,0-382,0-252,0-227,0		85,0-627,0-618,0-708,0		283,75	509,50
Mesa	Arizona	474,0	259,0-221,0-36,0-306,0		846,0-839,0-623,0-883,0		205,50	797,75
Dallas	Texas	229,0	298,0-203,0-342,0-295,0		697,0-762,0-689,0-848,0		284,50	749,00
Mountain View	California	472,0	273,0-336,0-273,0-215,0		688,0-836,0-609,0-744,0		274,25	719,25
Richmond	Virginia	19,0	257,0-205,0-331,0-292,0		714,0-631,0-833,0-743,0		271,25	730,25
Boston	Massachusetts	47,0	258,0-26,0-226,0-319,0		899,0-647,0-887,0-777,0		207,25	802,50
Salt Lake City	Utah	187,0	247,0-377,0-335,0-214,0		86,0-809,0-798,0-646,0		293,25	584,75
Fort Lauderdale	Florida	365,0	264,0-266,0-318,0-359,0		699,0-615,0-743,0-864,0		301,75	730,25
Lexington	Kentucky	441,0	233,0-291,0-201,0-328,0		667,0-849,0-694,0-752,0		263,25	740,50
Erie	Pennsylvania	884,0	218,0-387,0-352,0-264,0		713,0-759,0-781,0-896,0		305,25	787,25
Belo Horizonte	Minas Gerais	21,0	1,0-2,0-3,0-4,0		11,0-12,0-13,0-14,0		2,50	12,50
